transaction_id,is_fraud,Customer_Satisfaction_Score,Loyalty_Points_Earned
fff87d4340ef756a592eac652493cf6b,0,6,332
d0ad335af432f35578eea01d639b3621,0,8,476
87f26e3ea33f4ff4c7a8bad2c7f48686,0,3,100
9c34015321c0fa2ae6fd20f9359d1d3e,0,4,460
198437c05676f485e9be04449c664475,0,5,372
2203dd06764180b6314dca2b21df2494,0,3,201
7b44d808a40f8ac414736be6a038e83c,0,6,14
c5b880abe58cd5eedbda555cdb302d86,0,10,98
91376d8059070c4c481a6b47e763b195,0,2,69
f8a5ece3bf61877d1cab6dde1ec687ce,0,9,36
76757c92e09b6db6f48d18c8937c796e,0,6,334
c293e3d5ebc1bd50000b027b5dd92a09,0,10,322
9e40574a956e4751fa5efe8191e5b32c,0,8,118
5685fd238c51ead57236b4440951ece0,0,4,490
b8d56cc4e26c7059a49ca19916f7e701,0,6,457
ca1abe66060045960598f93bdbb94d35,0,1,276
bcf7fc481328497bb47e0ef1c8a3fb43,0,3,15
969d67625fa80ac936c3e61f3cf2666d,0,8,157
936a08b99425359a311c031a5105fd1c,0,9,87
4aef84843de342a412bbfedf90a4e419,0,7,28
bd5c94e257dc949fb03429367956d026,0,9,89
d0724d54a39782d381735db9bc88f677,0,1,15
13d6bb499df223e1e24352cf0211b93f,0,3,232
a2a5949ef1000a80a83d0ee4e417d9a2,0,7,323
9d8c32a37e91b982fb326525a28c0659,0,7,141
d99292d09e1e23b3de8821c962370310,0,7,68
a9e3d0b484b89beec8b0aa389da36d13,0,7,111
130b8f03753e3d436113e9092e2aae48,0,4,62
31a6a69b008b800269c8d6af5cf99e24,0,7,170
5c6af6f8b3f58778affe58ea2269caba,0,9,306
d075eea362d45196029e53d7306cd252,0,10,42
0fede23f0e0dc45109c455eacbfa065f,0,10,99
a7749fcaef3b18a6f7ccc2b88d908fab,0,7,284
9138dd5bcfecf955777d307b93dbc851,0,5,211
022fec61c801ac293329f7b85320d56b,0,8,384
94343d8f7a10bd8b3f4ccfc27360039d,0,5,249
d3deadcfab1114c54209b551a678db83,0,10,329
e13a01f2c90f98bcd598e30ca9cb5901,0,8,110
bcf37707ad5a56f75dbfa447e6442514,0,10,23
4548b9afa3bc77cbde4dbf9a948b2dad,0,9,202
1891325cd6a2701cdc05d8f2fd93330d,0,8,217
2ceb7b99f4ee62062ce38e86ef906496,0,6,149
78f71debadbe7595de0b686da40e3cc7,0,10,319
284a9c7ea311ff2be9497e76e57fd42f,0,10,491
ea23232820d1d1d0d9b9753e051afa72,0,2,364
5fffe5622220856d970690b6f3bd32aa,0,8,6
b24e1f09147621f08af4ffa9af8df9f0,0,1,167
44f8ab45ff5bfe1572be6d81bac8b865,0,3,19
abb4b120072977b5d4481b4c0a897362,0,1,424
4dec42de02d312ce2533f17cc968d0bb,0,9,38
1d933a7d91616517bfcd718e3680e8a8,0,8,241
a771c3365d3754def6d7e345a0b80af0,0,10,460
d779b90110bcbf8bf77076138b3f5274,0,2,472
578c9add3c1ade1a441cf17e2962961f,0,4,5
a1253eb7444c7a3c43fe429b44adacfd,0,6,445
0c60a68c6c1488c063b6758b625908ed,0,3,182
3d3a803ed6bd7862b0af64ae8e54bd84,0,5,327
e9306ce419c6202b42d550470050ff03,0,6,446
32a93e8e9294d14d3ad6ce5d66b4fcf5,0,5,281
8c7eda57ee6e0f81e059aec8cf9eb016,0,6,452
7be77d39fa01508d2f85564b2f2b55dc,0,5,441
128c83b2531cc554c540e5b61848c689,0,8,357
2883e6322a7c90c1e8f1c0a90f100b57,1,2,435
e7b20e630eb765aea06a14f77012dfb9,0,9,174
a0164abcec5df0fcbe6e2ed6cf1fb5a7,0,6,159
84810cc3e7351df80413b7e2f79531d7,0,8,462
61e111e4c533d643c792165bea6b9d54,0,7,49
083ef87a0c5acc2c0f858bb6cbeced84,0,4,492
5c8193064999ecd76b18467bbbae896f,0,1,277
77b3417a1a8469459830c2dc4db16b03,0,6,411
ede5a17897e0bdbd1cba3bb5dac58113,0,1,3
8ac5b1e54c991811ea5f3f7408334758,0,5,484
14b2aa71fe5e0afb57c136000ffcd6af,0,9,83
0774858090e975b161a5c4cfeeb3a20f,0,9,172
080a9d61e51830fe72bf5afaf8daa245,0,5,457
a6c78aee8471672549d521f7f96c266a,0,7,39
a0b0630c65367269f8531f4caea89da0,0,4,458
7fefad30e8705f1d4b76f27c1ad4c4e6,0,1,329
ceeb49cf8609f7e2a4c9a7eccac8e1f2,0,1,200
5e5927b8222a8238a1321b5b83eed9e0,0,10,92
16d1576a4348b320db400c90615f6049,0,5,32
09d1f87e12c319c9c0f9becbb4ea72d7,0,7,301
37052ac4202b2d43e839aad2a0709583,0,4,320
05721c1a6567edbf34e6d78125c217f7,0,8,241
e7aca77b43fa68a111e20c07481f1709,0,7,271
0379781b32c04569f29b3a5728561f7b,0,7,458
c9042851e29e5320913f1283eef93409,0,10,88
cc92f0d520aa90ede977912b3dbe7166,0,6,388
ffdb47fa8736d3519fc9ca274b2dc980,0,8,31
2688a159e538a3f46868b00bd55182ec,0,9,239
e4bf5b32f1a9eabed3c51d627f65bdc3,0,7,494
f96dea9e844f3cf4386058ec5f8f020d,0,2,353
e58226a02febf6e890caa43768c2716e,0,2,175
c798df2229b8ef462a11f9e49f73e1c1,0,7,426
080a51c663e9d98af77703e845fb3e0a,0,7,183
1a93bc8755e0807b927c61665a7f8eee,0,9,189
eadf77f76d58b03db367ba5e470bf9eb,0,5,15
4e2cacbc0cec8c60cf559bac9a8ae784,0,8,252
2e8814f196377edc6efadc8733ea6648,0,7,8
209d978b4482c4eb1bd241062d875011,0,5,53
8c875315c2121c86c6bdf88de9bc03e0,0,2,294
fea8462d6e888f543aeb0fb9ca2fd1ea,0,7,203
cf9e6fcd70e1b404508781da73a8765a,0,5,417
951e48ec6ea9abc2ca29053f6d77bd20,0,2,65
9969e4547a6a154ffcb339470f972ff6,0,7,122
cdd0f0cb1b2943cb8603229973c771ae,0,8,309
4703c66d0349bcb50e9faf6f2be832fd,0,10,419
5e11e2c04141d14c5e5bdbd4ddce0d55,0,5,317
325249401ac3496acae2c6ad28fa76bd,0,8,426
cec55e4b1f08f9a117ad25019836141a,0,3,66
b4f3743f8c1329dc8d6de9a1d55d9f7f,0,9,154
cdf31f0547b2d9d869a7de9b6fa5bacc,0,2,421
ee1aeb9e30971fa8a4f3940fc91e8988,0,6,61
de78e900b53cf03e1046db4205b385cf,0,4,57
e7bdb15dbe4ae7d407f9f7e171b27ea9,0,8,407
4781fcbde40492c3dd6b743b0cbb2d91,0,10,113
76a49b96b422101ebcedf32f3952ff35,0,6,330
5775e747faedeb059f9fe4e278509bcd,0,4,332
115d89543f6253a20a6a7f89ee184e1b,0,2,86
c1ba509dc5641c2c272af5b4ca09aeb1,0,6,13
2f793d88f1e69be416c838f1866bad1e,0,8,470
